Time Interval,Date,Temperature (ºF),Temperature (ºC),pH (mV),Salinity (PSU),Conductivity (µS/cm),"Conductivity, Non-Linear Function (µS/cm)","Conductivity, Specific (µS/cm)",Dissolved Oxygen (mg/L),"Dissolved Oxygen, Saturated (%)","Dissolved Oxygen, Local (%)",Oxygen Reduction Potential (mV),Chlorophyll (RFU),Total Algae (RFU),Total Dissolved Solids (mg/L),pH (YSI),Turbidity (RFU),Phosphate (mg/L),"Nitrate, Mid-Range (mg/L)","Nitrate, High-Range (mg/L)",pH_Hach,Alkalinity (mg/L CaCO3),Silica (mg/L),Iron (mg/L),Ammonia (mg/L)
Monthly,2011-07-31,76.9438,25,NA,29.6,45700,NA,NA,NA,NA,NA,275,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2011-08-31,78.8563,26.1,NA,29.1,46100,NA,NA,NA,NA,NA,284,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2011-09-30,78.0688,25.6,NA,28.9,45300,NA,NA,NA,NA,NA,301,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2011-10-31,78.2938,25.7,NA,28.8,45300,NA,NA,NA,NA,NA,333,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2011-11-30,78.8,26,NA,26.85,43200,NA,NA,NA,NA,NA,381,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2011-12-31,78.9688,26.1,NA,26.8,42700,NA,NA,NA,NA,NA,385,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2012-01-31,79.925,26.6,NA,27.1,43500,NA,NA,NA,NA,NA,376,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2012-02-29,79.9813,26.6,NA,26.9,43400,NA,NA,NA,NA,NA,355,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2012-03-31,79.3063,26.2,NA,26.5,42500,NA,NA,NA,NA,NA,393,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2012-04-30,78.8563,26,NA,26.3,42000,NA,NA,NA,NA,NA,387,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2012-05-31,76.55,24.7,NA,26.2,40700,NA,NA,NA,NA,NA,350,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2012-07-31,77.5063,25.3,NA,25.8,40700,NA,NA,NA,NA,NA,296,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2012-08-31,76.1563,24.6,NA,25.6,39500,NA,NA,NA,NA,NA,285,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2012-09-30,75.7625,24.3,NA,25.5,39400,NA,NA,NA,NA,NA,260,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2012-10-31,73.2313,23,NA,25.7,38100,NA,NA,NA,NA,NA,248,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2013-01-31,79.925,26.5,NA,25.6,41400,NA,NA,NA,NA,NA,206,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2013-02-28,79.5875,26.3,NA,25.6,41200,NA,NA,NA,NA,NA,201,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2013-03-31,80.375,26.8,NA,25.7,41700,NA,NA,NA,NA,NA,191,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2013-04-30,80.0375,26.7,NA,25.7,41700,NA,NA,NA,NA,NA,194,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2013-07-31,74.75,23.8,NA,25.2,38600,NA,NA,NA,NA,NA,181,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2013-08-31,74.075,23.4,NA,25,38100,NA,NA,NA,NA,NA,179,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monthly,2013-09-30,73.9063,23.3,NA,24.8,37700,NA,NA,NA,NA,NA,176,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
